Country,Country_Code,Year,Birth_Rate,Indicator
India,IND,1960,42.902,birth_rate
India,IND,1961,42.67,birth_rate
India,IND,1962,42.475,birth_rate
India,IND,1963,42.261,birth_rate
India,IND,1964,42.061,birth_rate
India,IND,1965,41.65,birth_rate
India,IND,1966,41.205,birth_rate
India,IND,1967,40.831,birth_rate
India,IND,1968,40.485,birth_rate
India,IND,1969,40.058,birth_rate
India,IND,1970,39.763,birth_rate
India,IND,1971,39.724,birth_rate
India,IND,1972,39.458,birth_rate
India,IND,1973,39.299,birth_rate
India,IND,1974,39.0,birth_rate
India,IND,1975,38.362,birth_rate
India,IND,1976,38.244,birth_rate
India,IND,1977,37.563,birth_rate
India,IND,1978,37.149,birth_rate
India,IND,1979,37.001,birth_rate
India,IND,1980,37.057,birth_rate
India,IND,1981,36.761,birth_rate
India,IND,1982,36.403,birth_rate
India,IND,1983,36.125,birth_rate
India,IND,1984,35.917,birth_rate
India,IND,1985,35.42,birth_rate
India,IND,1986,35.22,birth_rate
India,IND,1987,34.442,birth_rate
India,IND,1988,33.892,birth_rate
India,IND,1989,33.279,birth_rate
India,IND,1990,32.569,birth_rate
India,IND,1991,32.023,birth_rate
India,IND,1992,31.414,birth_rate
India,IND,1993,30.771,birth_rate
India,IND,1994,30.295,birth_rate
India,IND,1995,29.77,birth_rate
India,IND,1996,29.217,birth_rate
India,IND,1997,28.685,birth_rate
India,IND,1998,28.199,birth_rate
India,IND,1999,27.73,birth_rate
India,IND,2000,27.518,birth_rate
India,IND,2001,27.206,birth_rate
India,IND,2002,26.538,birth_rate
India,IND,2003,25.783,birth_rate
India,IND,2004,25.121,birth_rate
India,IND,2005,24.304,birth_rate
India,IND,2006,23.564,birth_rate
India,IND,2007,22.932,birth_rate
India,IND,2008,22.506,birth_rate
India,IND,2009,22.211,birth_rate
India,IND,2010,21.633,birth_rate
India,IND,2011,21.156,birth_rate
India,IND,2012,20.672,birth_rate
India,IND,2013,20.061,birth_rate
India,IND,2014,19.089,birth_rate
India,IND,2015,18.936,birth_rate
India,IND,2016,18.756,birth_rate
India,IND,2017,17.995,birth_rate
India,IND,2018,17.91,birth_rate
India,IND,2019,17.368,birth_rate
India,IND,2020,16.744,birth_rate
India,IND,2021,16.491,birth_rate
India,IND,2022,16.336,birth_rate
India,IND,2023,16.146,birth_rate
India,IND,2024,15.981,birth_rate
