Country,Country_Code,Year,FDI,Indicator
India,IND,1970,45460000.0,fdi
India,IND,1971,47659999.9,fdi
India,IND,1972,17789999.9,fdi
India,IND,1973,37909999.9,fdi
India,IND,1974,56969999.9,fdi
India,IND,1975,-10326246.7051639,fdi
India,IND,1976,-7706430.54257424,fdi
India,IND,1977,-36060000.0,fdi
India,IND,1978,18090000.0,fdi
India,IND,1979,48570000.0,fdi
India,IND,1980,79159999.9,fdi
India,IND,1981,91920000.0,fdi
India,IND,1982,72079999.9,fdi
India,IND,1983,5639999.9,fdi
India,IND,1984,19239999.9,fdi
India,IND,1985,106090000.0,fdi
India,IND,1986,117730000.0,fdi
India,IND,1987,212319999.9,fdi
India,IND,1988,91250000.0,fdi
India,IND,1989,252099999.9,fdi
India,IND,1990,236690000.0,fdi
India,IND,1991,73537638.388533,fdi
India,IND,1992,276512438.973893,fdi
India,IND,1993,550370024.929383,fdi
India,IND,1994,973271468.722873,fdi
India,IND,1995,2143628110.28391,fdi
India,IND,1996,2426057021.91092,fdi
India,IND,1997,3577330042.34585,fdi
India,IND,1998,2634651657.7714,fdi
India,IND,1999,2168591054.37924,fdi
India,IND,2000,3584217307.18755,fdi
India,IND,2001,5128093561.62688,fdi
India,IND,2002,5208967106.27894,fdi
India,IND,2003,3681984671.43428,fdi
India,IND,2004,5429250989.85717,fdi
India,IND,2005,7269407225.61438,fdi
India,IND,2006,20029119267.1396,fdi
India,IND,2007,25227740886.6819,fdi
India,IND,2008,43406277075.8108,fdi
India,IND,2009,35581372929.6641,fdi
India,IND,2010,27396885033.7838,fdi
India,IND,2011,36498654597.8589,fdi
India,IND,2012,23995685014.2141,fdi
India,IND,2013,28153031270.3202,fdi
India,IND,2014,34576643694.1382,fdi
India,IND,2015,44009492129.5319,fdi
India,IND,2016,44458571545.798,fdi
India,IND,2017,39966091358.7384,fdi
India,IND,2018,42117450737.2644,fdi
India,IND,2019,50610647353.5911,fdi
India,IND,2020,64362364994.3754,fdi
India,IND,2021,44727277562.881,fdi
India,IND,2022,49940258404.2659,fdi
India,IND,2023,28086193530.3979,fdi
India,IND,2024,27139853378.1402,fdi
