Country,Country_Code,Year,Death_Rate,Indicator
India,IND,1960,19.421,death_rate
India,IND,1961,19.227,death_rate
India,IND,1962,18.981,death_rate
India,IND,1963,18.728,death_rate
India,IND,1964,18.512,death_rate
India,IND,1965,19.359,death_rate
India,IND,1966,19.058,death_rate
India,IND,1967,18.783,death_rate
India,IND,1968,17.515,death_rate
India,IND,1969,17.267,death_rate
India,IND,1970,17.014,death_rate
India,IND,1971,16.812,death_rate
India,IND,1972,16.597,death_rate
India,IND,1973,16.311,death_rate
India,IND,1974,15.893,death_rate
India,IND,1975,15.528,death_rate
India,IND,1976,15.179,death_rate
India,IND,1977,14.817,death_rate
India,IND,1978,14.429,death_rate
India,IND,1979,14.066,death_rate
India,IND,1980,13.752,death_rate
India,IND,1981,13.424,death_rate
India,IND,1982,13.093,death_rate
India,IND,1983,12.773,death_rate
India,IND,1984,12.471,death_rate
India,IND,1985,12.164,death_rate
India,IND,1986,11.879,death_rate
India,IND,1987,11.577,death_rate
India,IND,1988,11.286,death_rate
India,IND,1989,11.0,death_rate
India,IND,1990,10.726,death_rate
India,IND,1991,10.472,death_rate
India,IND,1992,10.225,death_rate
India,IND,1993,10.001,death_rate
India,IND,1994,9.777,death_rate
India,IND,1995,9.572,death_rate
India,IND,1996,9.371,death_rate
India,IND,1997,9.174,death_rate
India,IND,1998,8.988,death_rate
India,IND,1999,8.805,death_rate
India,IND,2000,8.628,death_rate
India,IND,2001,8.482,death_rate
India,IND,2002,8.294,death_rate
India,IND,2003,8.125,death_rate
India,IND,2004,7.982,death_rate
India,IND,2005,7.819,death_rate
India,IND,2006,7.67,death_rate
India,IND,2007,7.536,death_rate
India,IND,2008,7.41,death_rate
India,IND,2009,7.29,death_rate
India,IND,2010,7.164,death_rate
India,IND,2011,7.048,death_rate
India,IND,2012,6.945,death_rate
India,IND,2013,6.859,death_rate
India,IND,2014,6.77,death_rate
India,IND,2015,6.729,death_rate
India,IND,2016,6.7,death_rate
India,IND,2017,6.673,death_rate
India,IND,2018,6.67,death_rate
India,IND,2019,6.67,death_rate
India,IND,2020,7.214,death_rate
India,IND,2021,9.259,death_rate
India,IND,2022,6.576,death_rate
India,IND,2023,6.611,death_rate
India,IND,2024,6.587,death_rate
