Country,Country_Code,Year,Exports,Indicator
India,IND,1960,1652701652.70165,exports
India,IND,1961,1688401688.40169,exports
India,IND,1962,1757701757.70176,exports
India,IND,1963,2072702072.70207,exports
India,IND,1964,2104202104.2021,exports
India,IND,1965,1969801969.80197,exports
India,IND,1966,1888225564.87049,exports
India,IND,1967,2022666666.66667,exports
India,IND,1968,2144000000.0,exports
India,IND,1969,2170666666.66667,exports
India,IND,1970,2361333333.33333,exports
India,IND,1971,2469914214.15473,exports
India,IND,1972,2878233145.16372,exports
India,IND,1973,3599236351.42232,exports
India,IND,1974,4808449429.90723,exports
India,IND,1975,5560878503.24078,exports
India,IND,1976,6868148772.67222,exports
India,IND,1977,7754701053.93862,exports
India,IND,1978,8670401540.12653,exports
India,IND,1979,10326638765.7562,exports
India,IND,1980,11439738400.0812,exports
India,IND,1981,11485699151.0595,exports
India,IND,1982,12009417676.7037,exports
India,IND,1983,12741335281.0764,exports
India,IND,1984,13330716432.207,exports
India,IND,1985,12217447521.8095,exports
India,IND,1986,12937864153.5995,exports
India,IND,1987,15638662913.9839,exports
India,IND,1988,17899838408.9376,exports
India,IND,1989,20770696112.0947,exports
India,IND,1990,22639774911.5525,exports
India,IND,1991,22943398073.2995,exports
India,IND,1992,25486029046.6975,exports
India,IND,1993,27466541462.9135,exports
India,IND,1994,32361214431.4321,exports
India,IND,1995,39068855117.8518,exports
India,IND,1996,40803004618.1754,exports
India,IND,1997,44459225642.5392,exports
India,IND,1998,46426465025.0477,exports
India,IND,1999,52544483402.6936,exports
India,IND,2000,60878472821.2004,exports
India,IND,2001,60963415576.6447,exports
India,IND,2002,73452895951.6331,exports
India,IND,2003,90838575243.7621,exports
India,IND,2004,126648472020.752,exports
India,IND,2005,160838260680.778,exports
India,IND,2006,199973922363.783,exports
India,IND,2007,253077526013.168,exports
India,IND,2008,288902044820.698,exports
India,IND,2009,273752124889.211,exports
India,IND,2010,375353514026.267,exports
India,IND,2011,447384417625.093,exports
India,IND,2012,448400477361.254,exports
India,IND,2013,472180271340.149,exports
India,IND,2014,468345815420.933,exports
India,IND,2015,416787940847.812,exports
India,IND,2016,439642578076.358,exports
India,IND,2017,498258808231.521,exports
India,IND,2018,538635186135.438,exports
India,IND,2019,529245063167.215,exports
India,IND,2020,499728529072.629,exports
India,IND,2021,677769255428.552,exports
India,IND,2022,778021514754.531,exports
India,IND,2023,780408530088.596,exports
India,IND,2024,827405227198.603,exports
