Country,Country_Code,Year,High_Tech_Exports,Indicator
India,IND,2009,11219528624.0,high_tech_exports
India,IND,2010,10668887032.0,high_tech_exports
India,IND,2011,14508694707.0,high_tech_exports
India,IND,2012,13881886778.0,high_tech_exports
India,IND,2013,17945576995.0,high_tech_exports
India,IND,2014,18334404544.0,high_tech_exports
India,IND,2015,14588767825.0,high_tech_exports
India,IND,2016,14266747536.0,high_tech_exports
India,IND,2017,15104651310.0,high_tech_exports
India,IND,2018,20197216794.0,high_tech_exports
India,IND,2019,23471089532.0,high_tech_exports
India,IND,2020,21583797567.0,high_tech_exports
India,IND,2021,27447578528.0,high_tech_exports
India,IND,2022,35784973166.0,high_tech_exports
India,IND,2023,40942449667.0,high_tech_exports
India,IND,2024,54140883629.0,high_tech_exports
