Country,Country_Code,Year,Military_Expenditure,Indicator
India,IND,1960,681765681.765682,military_expenditure
India,IND,1961,748388248.388248,military_expenditure
India,IND,1962,1065436065.43607,military_expenditure
India,IND,1963,1795449295.4493,military_expenditure
India,IND,1964,1986654486.65449,military_expenditure
India,IND,1965,2125989625.98963,military_expenditure
India,IND,1966,1661154906.41015,military_expenditure
India,IND,1967,1487733333.33333,military_expenditure
India,IND,1968,1586866666.66667,military_expenditure
India,IND,1969,1691433333.33333,military_expenditure
India,IND,1970,1832966666.66667,military_expenditure
India,IND,1971,2255256982.83756,military_expenditure
India,IND,1972,2497244705.68716,military_expenditure
India,IND,1973,2529921054.3991,military_expenditure
India,IND,1974,2895415720.35154,military_expenditure
India,IND,1975,3323646800.51911,military_expenditure
India,IND,1976,3294910612.34921,military_expenditure
India,IND,1977,3477080944.50128,military_expenditure
India,IND,1978,3975819129.87438,military_expenditure
India,IND,1979,4589738351.59412,military_expenditure
India,IND,1980,5420809519.08574,military_expenditure
India,IND,1981,5879007035.84446,military_expenditure
India,IND,1982,6302107956.21001,military_expenditure
India,IND,1983,6830768697.58092,military_expenditure
India,IND,1984,6956682449.43939,military_expenditure
India,IND,1985,7567024020.30933,military_expenditure
India,IND,1986,9539363085.60916,military_expenditure
India,IND,1987,10877406164.41,military_expenditure
India,IND,1988,11346419153.4156,military_expenditure
India,IND,1989,10589796924.594,military_expenditure
India,IND,1990,10537035450.0528,military_expenditure
India,IND,1991,8622473881.38455,military_expenditure
India,IND,1992,8083231409.70982,military_expenditure
India,IND,1993,8253542581.48511,military_expenditure
India,IND,1994,8880551226.0269,military_expenditure
India,IND,1995,9754464629.8929,military_expenditure
India,IND,1996,9904672736.30381,military_expenditure
India,IND,1997,11464883389.8324,military_expenditure
India,IND,1998,11920610818.3832,military_expenditure
India,IND,1999,13895562461.387,military_expenditure
India,IND,2000,14287514240.7035,military_expenditure
India,IND,2001,14600642346.0997,military_expenditure
India,IND,2002,14749667251.5907,military_expenditure
India,IND,2003,16333986643.282,military_expenditure
India,IND,2004,20238566526.5411,military_expenditure
India,IND,2005,23072312925.1701,military_expenditure
India,IND,2006,23951927958.1522,military_expenditure
India,IND,2007,28254773450.0647,military_expenditure
India,IND,2008,33002376727.3797,military_expenditure
India,IND,2009,38722154392.1843,military_expenditure
India,IND,2010,46090445656.5003,military_expenditure
India,IND,2011,49633815793.7027,military_expenditure
India,IND,2012,47216920048.2061,military_expenditure
India,IND,2013,47403528801.4226,military_expenditure
India,IND,2014,50914096277.083,military_expenditure
India,IND,2015,51295483753.9436,military_expenditure
India,IND,2016,56637622640.8741,military_expenditure
India,IND,2017,64559435280.6927,military_expenditure
India,IND,2018,66257801718.275,military_expenditure
India,IND,2019,71468900524.3041,military_expenditure
India,IND,2020,72937064047.7993,military_expenditure
India,IND,2021,76348538793.9209,military_expenditure
India,IND,2022,79976789327.937,military_expenditure
India,IND,2023,82293332162.5812,military_expenditure
India,IND,2024,86125976248.5524,military_expenditure
